model_id,family,impute_method,split,R2_train,MAE_train,R2_test,MAE_test
gnn_mean_split0,gnn,mean,0,0.6663596255623789,1.108822686900287,0.34747446344952904,1.5327709944372068
gnn_mean_split1,gnn,mean,1,0.6044919910626769,1.1973139006790947,0.33349336383361017,1.6459991294978955
gnn_mean_split2,gnn,mean,2,0.6638161386043566,1.105363507782526,0.42362532021951593,1.4416530800238423
gnn_mean_split3,gnn,mean,3,0.6887202213341006,1.0669768717898682,0.40048446165808027,1.5337193415455435
gnn_mean_split4,gnn,mean,4,0.4813388153235425,1.3794895011240669,0.35051618593167744,1.667828231743716
gnn_mean_split5,gnn,mean,5,0.6396458567847141,1.134132182281218,0.35202597008884196,1.6186470284538708
gnn_mean_split6,gnn,mean,6,0.5807340067431465,1.2575772883986989,0.3258617379275347,1.5693923623243058
gnn_mean_split7,gnn,mean,7,0.568496590485478,1.257961557580301,0.36252114436522087,1.5441612421540007
gnn_mean_split8,gnn,mean,8,0.5008852722454855,1.395171711391678,0.3599445721612984,1.522007164621024
gnn_mean_split9,gnn,mean,9,0.5309207163126932,1.3442960181179555,0.4159378045591793,1.487568535257537
gnn_median_split0,gnn,median,0,0.563567411383476,1.292154938753978,0.3124318675856058,1.6134467682880094
gnn_median_split1,gnn,median,1,0.585707092802644,1.2355176155814018,0.29948916318155916,1.6983835879500853
gnn_median_split2,gnn,median,2,0.6141098203821764,1.2078112686102433,0.3459875287809656,1.5699541242117168
gnn_median_split3,gnn,median,3,0.5868362895749938,1.2548342518012778,0.2348858806239995,1.7347972646274787
gnn_median_split4,gnn,median,4,0.7123971827631025,0.9959936818784323,0.3537261090153746,1.640421301457204
gnn_median_split5,gnn,median,5,0.6596162144211397,1.108870294419913,0.3311287159159636,1.665253823863501
gnn_median_split6,gnn,median,6,0.6228862122845518,1.1943948371793927,0.270332981617762,1.6630938274405345
gnn_median_split7,gnn,median,7,0.5082396668057323,1.3590597576542445,0.2705110046990685,1.6875601754111804
gnn_median_split8,gnn,median,8,0.6351831849767196,1.178354837717321,0.33321811769993503,1.5420220657072397
gnn_median_split9,gnn,median,9,0.5761523097196708,1.2761311148505692,0.3042125534704644,1.642937928073927
gnn_most_frequent_split0,gnn,most_frequent,0,0.45592920238263424,1.4638682888928518,0.34726696092291864,1.5797386896826209
gnn_most_frequent_split1,gnn,most_frequent,1,0.4397715881125006,1.4669670609574237,0.3416549340756513,1.7037727830401255
gnn_most_frequent_split2,gnn,most_frequent,2,0.4938737772325005,1.4080245703162695,0.3520024421277932,1.5836951193754696
gnn_most_frequent_split3,gnn,most_frequent,3,0.4838313803488422,1.4305953023381768,0.2813960417186566,1.7189914642224366
gnn_most_frequent_split4,gnn,most_frequent,4,0.47522016045216164,1.3864520886169285,0.4022560491468655,1.5831128728039767
gnn_most_frequent_split5,gnn,most_frequent,5,0.47055255769886073,1.4312151472707002,0.31765835220507366,1.7046053872514044
gnn_most_frequent_split6,gnn,most_frequent,6,0.551271471501229,1.3170594659900774,0.2899559497441466,1.6361516692068916
gnn_most_frequent_split7,gnn,most_frequent,7,0.48681089109910625,1.4012640452350156,0.34441814345820354,1.6162457127275136
gnn_most_frequent_split8,gnn,most_frequent,8,0.48498335972564555,1.4199640507263824,0.36750110076930975,1.517302111514738
gnn_most_frequent_split9,gnn,most_frequent,9,0.5157669284746581,1.3717448610218665,0.38386152846959054,1.5373021155008777
gnn_KNN_imputation_split0,gnn,KNN_imputation,0,0.5135943496114803,1.365452086268674,0.23882470363423092,1.6938328287286866
gnn_KNN_imputation_split1,gnn,KNN_imputation,1,0.6826152091187799,1.060008130043668,0.26603624784179203,1.7052909450146034
gnn_KNN_imputation_split2,gnn,KNN_imputation,2,0.6889499374357515,1.0609820203429903,0.27116824558130426,1.6185346791190662
gnn_KNN_imputation_split3,gnn,KNN_imputation,3,0.5941586737513749,1.244311617381297,0.1993672191487884,1.7624352659817402
gnn_KNN_imputation_split4,gnn,KNN_imputation,4,0.6990325356057909,1.0270431762300576,0.2359602307113039,1.734186473190675
gnn_KNN_imputation_split5,gnn,KNN_imputation,5,0.7565812184662402,0.9074087535128309,0.21248115420543956,1.760446258262108
gnn_KNN_imputation_split6,gnn,KNN_imputation,6,0.59618767425738,1.2277506025124474,0.23646226967271033,1.7107048939317977
gnn_KNN_imputation_split7,gnn,KNN_imputation,7,0.7462511506698342,0.933353616680725,0.26774940730310837,1.6473840653847005
gnn_KNN_imputation_split8,gnn,KNN_imputation,8,0.4574936814926329,1.4809294663462957,0.30001983531996945,1.6210089250709272
gnn_KNN_imputation_split9,gnn,KNN_imputation,9,0.7794096090471618,0.8758497686365835,0.3377285840009556,1.540124901428661
